姓名,性别,民族,出生年月,籍贯,现任职务,党派,代表团,学历,学位,毕业院校,专业
张大勇,男,汉族,1964年12月,吉林四平,全国人大代表,,北京,研究生,理学博士,兰州大学,生态学专业
张和平,男,汉族,1946年01月,河北深州,全国人大教育科学文化卫生委员会委员，北京市文联主席,中共,北京,大学,,北京戏剧专科学校,话剧表演专业
陈立国,男,汉族,1961年11月,山东菏泽,全国人大代表,中共,北京,大学,工学学士,东北石油大学,石油炼制专业
陈吉宁,男,汉族,1964年02月,吉林梨树,环境保护部部长、党组书记,中共,北京,研究生,工学博士,英国帝国理工医学院,环境系统分析专业
陈雨露,男,汉族,1966年11月,河北藁城,全国人大代表,中共,北京,研究生,经济学博士,中国人民大学,金融专业
欧阳泽华,男,汉族,1964年11月,湖南益阳,全国人大代表,民革,北京,研究生,经济学博士,中国人民大学,
欧阳淞,男,汉族,1948年10月,湖南双峰,全国人大常委会委员，中共中央党史研究室原主任,中共,北京,在职研究生,法学博士,中国人民大学,经济法学专业
周其凤,男,汉族,1947年10月,湖南浏阳,全国人大常委会委员、全国人大教育科学文化卫生委员会委员，中国科学院院士，北京大学原校长（副部长级）,中共,北京,研究生,理学博士,美国麻省大学,高分子化专业
周毅,男,汉族,1963年08月,重庆市,全国人大代表,中共,北京,研究生,管理学博士,香港理工大学,管理学
庞丽娟,女,汉族,1962年08月,浙江宁海,全国人大常委会委员、全国人大教育科学文化卫生委员会委员，民进中央常委、北京市委主委，北京师范大学校务委员会副主任、中国教育政策研究院执行副院长,民进,北京,研究生,教育学博士,,
赵郁,男,汉族,1968年06月,上海市,全国人大代表,中共,北京,在职大学,,宁夏大学,电子政务专业
赵凯,男,汉族,1952年07月,北京市,全国人大内务司法委员会委员(中共中央直属机关工委原副书记),中共,北京,大学,,南开大学,哲学专业
荣华,女,汉族,1953年10月,辽宁朝阳,全国人大代表,中共,北京,市委党校研究生,哲学学士,北京市委党校,经济管理专业
段铁力,男,汉族,1963年03月,黑龙江宾县,全国人大代表,中共,北京,研究生,博士,上海财经大学研究生院,经济学
段强,男,汉族,1956年06月,北京市,全国人大环境与资源保护委员会委员，中共北京市委委员，北京首都旅游集团有限责任公司董事长、党委书记，北京市原副市长,中共,北京,在职研究生,经济学博士,清华大学,经济管理
钱渊,女,汉族,1951年07月,江苏武进,全国人大代表,,北京,研究生,医学硕士,中国医学科学院北京协和医科大学,儿科学专业
徐和谊,男,回族,1957年11月,北京市,全国人大代表,中共,北京,大学,管理学博士,北京钢铁学院,炼铁专业
高丽朴,女,汉族,1954年12月,河北安国,全国人大代表,,北京,大学,农学学士,北京农业大学,蔬菜专业
郭金龙,男,汉族,1947年07月,江苏南京,全国人大代表,中共,北京,大学,,南京大学,声学专业
梁伟,男,汉族,1952年07月,河北鹿泉,全国人大代表,中共,北京,中央党校研究生,,中央党校,经济管理
敬大力,男,汉族,1958年02月,辽宁营口,全国人大代表,中共,北京,硕士研究生,法学硕士,吉林大学,刑法专业
韩晓武,男,汉族,1958年11月,北京市,全国人大常委会委员、全国人大内务司法委员会委员，全国人大常委会副秘书长、机关党组成员,中共,北京,研究生,法学硕士,日本新泻大学,法学专业
程京,男,汉族,1963年07月,安徽安庆,全国人大代表,民建,北京,在职研究生,哲学博士,英国史查克莱大学,司法生物学专业
慕平,男,汉族,1952年09月,山东蓬莱,全国人大代表,中共,北京,中央党校研究生,,中央党校,法学专业
魏哲,男,汉族,1952年12月,陕西凤翔,全国人大代表,中共,北京,在职大学,,武警工程学院,法律专业
于世平,男,汉族,1957年09月,河北枣强,全国人大代表,中共,天津,在职研究生,经济学硕士,南开大学,法律系法学专业
万文雅,女,汉族,1963年08月,天津,全国人大代表,中共,天津,大专,,天津电子信息职业技术学院,
马杰,女,回族,1963年01月,吉林长春,全国人大代表,中共,天津,研究生,硕士,哈尔滨工业大学,
马馼,女,汉族,1948年07月,河北吴桥,全国人大常委会委员、全国人大内务司法委员会主任委员、全国人大常委会代表资格审查委员会主任委员,中共,天津,大学本科,,南开大学,历史系中国史专业
王献华,男,汉族,1959年07月,河南平舆,全国人大代表,中共,天津,大学本科,,南京政治学院,内卫专业
毛雁俊,女,汉族,1966年05月,天津,全国人大代表,中共,天津,市委党校研究生,,天津市委党校,
孔晓艳,女,汉族,1967年05月,山东邹平,全国人大代表,,天津,研究生,法学硕士,中山大学,法律系法制史专业
史莲喜,女,汉族,1952年01月,河北景县,全国人大常委会委员，天津市人大常委会原副主任,中共,天津,中央党校研究生,,中央党校,法学专业
包景岭,男,汉族,1954年09月,山东海阳,全国人大代表,农工党,天津,大学普通班,,天津大学,土木工程系给排水专业
冯淑萍,女,汉族,1951年10月,天津,全国人大常委会委员、全国人大财政经济委员会委员,中共,天津,大学普通班,,山西财经学院,会计系会计学专业
邢克智,男,汉族,1956年07月,河北大城,全国人大代表,民盟,天津,大学本科,学士,天津农学院,水产科学系淡水养殖专业
朱建民,男,汉族,1964年07月,山东滨州,全国人大代表,中共,天津,研究生,博士,中国纺织大学,化学纤维专业
刘胜玉,男,汉族,1945年12月,山东荣成,全国人大民族委员会副主任委员，天津市人大常委会原主任,中共,天津,大学普通班,,北京大学,哲学系
闫希军,男,汉族,1953年09月,甘肃镇原,全国人大代表,中共,天津,研究生,管理学博士,南京农业大学经济管理学院,
关牧村,女,满族,1953年11月,辽宁沈阳,全国人大代表,中共,天津,研究生,历史学硕士,南开大学,
许希,男,汉族,1954年02月,福建金门,全国人大代表,致公党,天津,大学普通班,,天津大学,工业电气自动化专业
孙宝树,男,汉族,1950年12月,山东宁津,全国人大常委会委员、全国人大法律委员会副主任委员，中华全国总工会副主席（兼职），人力资源和社会保障部原副部长,中共,天津,中央党校研究生,,中央党校,
孙春兰,女,汉族,1950年05月,河北饶阳,全国人大代表,中共,天津,中央党校研究生,,中央党校,政治学专业
李少平,男,汉族,1956年10月,山西武乡,全国人大代表,中共,天津,研究生,法学硕士,西南政法学院,法律系刑法专业
李树起,男,汉族,1962年08月,天津,全国人大代表,中共,天津,中央党校研究生,,中央党校,
李家俊,男,汉族,1955年11月,浙江绍兴,全国人大代表,中共,天津,研究生,哲学博士,英国威尔士斯旺西大学,材料工程专业
李盛霖,男,汉族,1946年11月,江苏南通,全国人大常委会委员、全国人大财政经济委员会主任委员，交通运输部原部长,中共,天津,大学本科,,镇江农业机械学院,农业机械系农机专业
李朝兴,男,汉族,1957年11月,湖北阳新,全国人大代表,中共,天津,研究生,医学博士,同济医科大学,医疗系药理学专业
肖怀远,男,汉族,1953年06月,陕西西安,全国人大代表,中共,天津,中央党校研究生,,中央党校,政治经济学专业
何志敏,男,汉族,1963年10月,四川平昌,全国人大代表,民进,天津,研究生,工学博士,天津大学,化工系化学工程专业
张志强,男,汉族,1955年05月,河北唐县,全国人大代表,中共,天津,大学本科,经济学硕士,天津财经学院,对外贸易系外贸经济专业
张伯礼,男,汉族,1948年02月,河北宁晋,全国人大代表,中共,天津,研究生,医学硕士,天津中医学院,中医内科专业
张杰,男,汉族,1956年05月,天津,全国人大代表,中共,天津,市委党校研究生,,天津市委党校,农学专业
张高丽,男,汉族,1946年11月,福建晋江,全国人大代表,中共,天津,大学,,厦门大学,经济系计划统计专业
陈永川,男,汉族,1964年03月,四川南充,全国人大代表,九三学社,天津,研究生,理学博士,美国麻省理工学院,组合数学专业
林铁钢,男,汉族,1954年07月,陕西西安,全国人大代表,中共,天津,研究生,经济学硕士,西南财经大学,金融系金融专业
欧成中,男,汉族,1954年03月,广东中山,全国人大代表,民建,天津,大专,,天津财经学院,企业管理专业
周其林,男,汉族,1957年02月,安徽无为,全国人大代表,,天津,研究生,理学博士,中国科学院上海有机化学研究所,有机化学专业
周振海,男,汉族,1960年05月,吉林农安,全国人大代表,中共,天津,研究生,博士,东北师范大学,中共党史专业
周潮洪,女,汉族,1967年11月,浙江丽水,全国人大代表,民革,天津,研究生,工学博士,武汉大学,水力学及河流动力学专业
宗国英,男,汉族,1963年08月,河南内黄,全国人大代表,中共,天津,研究生,经济学博士,南开大学,工程地质专业
龚克,男,汉族,1955年06月,湖南长沙,全国人大代表,中共,天津,研究生,工学博士,奥地利格拉茨技术大学,电工电子系通讯与电波专业
窦树华,男,汉族,1957年10月,天津,全国人大常委会委员、全国人大环境与资源保护委员会委员，全国人大常委会副秘书长、机关党组成员,中共,天津,中央党校研究生,,中央党校,
蔡继明,男,汉族,1956年01月,河北唐山,全国人大代表,民进,天津,研究生,博士,南开大学,经济学专业
薛海英,女,汉族,1970年11月,四川遂宁,全国人大代表,,天津,初中,,,
霍兵,男,汉族,1963年10月,河北张家口,全国人大代表,,天津,研究生,工学博士,清华大学,建筑学院城市规划与设计专业
穆祥友,男,回族,1946年04月,天津,全国人大代表,中共,天津,高中,,,
于贵良,男,汉族,1963年01月,河北保定,全国人大代表,,河北,大学本科,学士,河北大学,机械制造
么志义,男,汉族,1957年07月,河北唐山,全国人大代表,中共,河北,研究生,硕士,清华大学,工商管理
马誉峰,男,汉族,1959年04月,河北景县,全国人大代表,中共,河北,研究生,硕士,新加坡南洋理工大学人文与社会科学院,管理经济学
王凤英,女,汉族,1970年10月,河北保定,全国人大代表,中共,河北,研究生,,天津财经学院,产业经济学
王文忠,男,汉族,1962年04月,河北枣强,全国人大代表,中共,河北,高中,,河北省枣强县大营中学,
王刚,男,汉族,1958年11月,辽宁新金,全国人大常委会委员，民进中央常委、河北省主委，河北省人大常委会副主任，河北省社会主义学院院长,民进,河北,研究生,博士,日本歧阜大学,生物资源化学
王志刚,男,汉族,1956年08月,河北高阳,全国人大代表,中共,河北,研究生,博士,东北林业大学,森林保护学
王其江,男,汉族,1954年10月,河北黄骅,全国人大常委会委员、全国人大内务司法委员会委员，中国法学会副会长,中共,河北,中央党校研究生,,中央党校,
王昌,男,汉族,1959年10月,山西朔州,全国人大代表,中共,河北,研究生,硕士,新加坡南洋理工大学商学院,管理经济学
王金亮,男,汉族,1954年01月,河北平山,全国人大内务司法委员会委员，全国人大常委会机关党组成员（原全国人大常委会机关党组纪检组组长）,中共,河北,中央党校大学本科,,中央党校,
王学求,男,汉族,1962年01月,辽宁大连,全国人大代表,九三学社,河北,研究生,博士,吉林大学地球探测与信息技术系,应用地球化学
王宝山,男,汉族,1963年07月,河北正定,全国人大代表,农工党,河北,研究生,博士,河北医科大学,病理学与病理生理学
王增力,男,汉族,1954年11月,河北滦县,全国人大代表,中共,河北,中央党校研究生,,中央党校函授学院,经济管理
方丽平,女,汉族,1968年08月,河北唐山,全国人大代表,,河北,大学本科,学士,唐山工程技术学院,钢铁冶金
方建平,男,汉族,1962年11月,河北卢龙,全国人大代表,,河北,大专,,河北神学院,神学
石克荣,男,汉族,1957年09月,北京顺义,全国人大代表,中共,河北,高中,,,
龙庄伟,男,苗族,1956年01月,湖北恩施,全国人大常委会委员、全国人大农业与农村委员会副主任委员，民盟中央专职副主席,民盟,河北,研究生,硕士,河北师范学院,汉语史
卢庆国,男,汉族,1959年03月,河北曲周,全国人大代表,,河北,大专,,河北广播电视大学,工业企业管理
史书娥,女,汉族,1963年11月,河北清河,全国人大代表,九三学社,河北,中央党校研究生,,中央党校成教学院,经济学
付双建,男,汉族,1953年04月,河北肃宁,全国人大财政经济委员会委员,中共,河北,大学本科,,北京科技大学成人教育学院,管理工程
丛斌,男,汉族,1957年07月,山东文登,全国人大常委会委员、全国人大法律委员会副主任委员，全国人大常委会代表资格审查委员会委员，九三学社中央专职副主席，河北医科大学副校长，中国工程院院士,九三学社,河北,研究生,博士,河北医科大学,病理生理学
边发吉,男,汉族,1957年11月,河北肃宁,全国人大代表,民盟,河北,高中,,,
邢国辉,男,汉族,1961年03月,河北正定,全国人大代表,中共,河北,研究生,硕士,天津财经大学,国民经济学
毕建国,男,汉族,1961年11月,河北献县,全国人大代表,中共,河北,研究生,硕士,大连理工大学,管理科学与工程
朱立秋,女,汉族,1967年11月,吉林永吉,全国人大代表,,河北,研究生,硕士,美国圣路易斯大学,MBA工商管理
朱守琛,男,汉族,1956年12月,河北沧县,全国人大代表,,河北,省委党校大学本科,,中共河北省委党校函授学院,经济管理
朱浩文,男,汉族,1967年02月,四川威远,全国人大代表,中共,河北,大学本科,硕士,南开大学,经济管理
刘大群,男,汉族,1958年08月,河北灵寿,全国人大代表,中共,河北,研究生,博士,美国明尼苏达大学,植物病理
刘玉顺,男,汉族,1954年07月,河北武邑,全国人大代表,中共,河北,中央党校大学,经济学硕士,中央党校经济管理专业、河北大学世界经济专业,
刘延东,女,汉族,1945年11月,江苏南通,全国人大代表,中共,河北,研究生,博士,吉林大学,政治学理论
刘明忠,男,汉族,1959年01月,甘肃榆中,全国人大代表,中共,河北,研究生,博士,北京科技大学,钢铁冶金
刘宝生,男,汉族,1957年11月,河北徐水,全国人大代表,中共,河北,中央党校大学本科,,中央党校函授学院,法律
刘春香,女,回族,1973年07月,河北孟村,全国人大代表,,河北,大学本科,学士,河北农业大学,果树
闫立英,女,汉族,1963年04月,河北曲阳,全国人大代表,民建,河北,省委党校研究生,学士,省委党校在职研究生班,经济管理
闫光华,女,汉族,1968年06月,河北馆陶,全国人大代表,,河北,高中,,河北省馆陶县滩上中学,
米博华,男,汉族,1953年07月,河北赵县,全国人大环境与资源保护委员会委员，网信办网络阅评小组组长,中共,河北,中央党校研究生,,中央党校,
安建,男,汉族,1952年12月,河北安平,全国人大法律委员会副主任委员,中共,河北,大学本科,,中国人民大学,工业经济
祁万利,男,汉族,1957年09月,河北赤城,全国人大代表,九三学社,河北,研究生,,南开大学研究生院经济学院,产业经济学
孙文仲,男,汉族,1966年08月,河北乐亭,全国人大代表,中共,河北,研究生,硕士,北京交通大学,工商管理
孙纪木,男,汉族,1956年11月,浙江绍兴,全国人大代表,中共,河北,大学本科,学士,浙江绍兴农业大学,农学
杜庆申,男,汉族,1952年01月,河北永年,全国人大代表,,河北,中央党校大学,,中共中央党校函授学院,法律
李小亭,女,汉族,1957年01月,河北容城,全国人大代表,民革,河北,大学普通班,硕士,河北大学,光学
李长庚,男,汉族,1958年06月,河北沙河,全国人大代表,中共,河北,研究生,,北京大学研究生院,区域经济学
李兆廷,男,汉族,1965年07月,河北新乐,全国人大代表,中共,河北,大学本科,学士,河北工业大学,机械制造
李志坚,男,汉族,1962年12月,河南延津,全国人大代表,中共,河北,大学本科,,西安陆军学院,军事指挥
李连贵,男,汉族,1961年07月,天津,全国人大代表,中共,河北,研究生,博士,天津师范大学,数学
李沈明,男,汉族,1954年10月,辽宁建昌,全国人大代表,中共,河北,大学本科,学士,河北化工学院,有机化工
李怀,男,汉族,1954年04月,河北三河,,,河北,高中,,,
李艳军,男,汉族,1964年09月,河北容城,全国人大代表,,河北,大专,,北京联合大学,
李振江,男,汉族,1956年07月,河北栾城,全国人大代表,中共,河北,研究生,硕士,长江商学院,高级工商管理
李增其,男,汉族,1962年06月,河北武安,全国人大代表,,河北,大专,,河北工程大学,会计电算化
杨秀华,女,汉族,1963年11月,河北承德县,全国人大代表,中共,河北,大专,,承德职业学院,农村区域经济发展
杨建忠,男,汉族,1965年02月,河北徐水,全国人大代表,中共,河北,研究生,硕士,北京航空航天大学软件学院,软件工程
杨雪岗,男,汉族,1965年02月,河北邢台,全国人大代表,中共,河北,大专,,河北水利专科学校,水利工程
杨崇勇,男,满族,1955年11月,云南昆明,全国人大代表,中共,河北,大学本科,,云南大学,汉语言文学
杨新丽,女,汉族,1964年01月,河北深州,全国人大代表,,河北,省委党校研究生,,河北省委党校在职研究生班,经济管理
杨慧,男,汉族,1965年07月,河北康保,全国人大代表,中共,河北,研究生,博士,天津大学,管理科学与工程
吴振山,男,汉族,1957年03月,河北正定,全国人大代表,中共,河北,研究生,硕士,河北农业大学,经济管理
余卫平,男,汉族,1966年01月,福建龙海,全国人大代表,中共,河北,研究生,博士,吉林大学,数量经济学
冷继英,女,汉族,1973年07月,河北广平,全国人大代表,,河北,大学本科,,河北师范大学,汉语言文学
宋恩华,男,汉族,1953年01月,黑龙江双城,全国人大代表,中共,河北,研究生,硕士,哈尔滨工业大学管理学院,管理工程
宋福如,男,汉族,1950年08月,河北永年,全国人大代表,中共,河北,大学本科,,北京化工大学,化工
张云川,男,汉族,1946年10月,浙江东阳,全国人大常委会委员、全国人大环境与资源保护委员会副主任委员,中共,河北,大学本科,学士,哈尔滨军事工程学院,舰艇内燃机
张凤梅,女,汉族,1961年03月,河北吴桥,全国人大代表,民建,河北,大专,,唐山市业余工学院,工民建
张庆伟,男,汉族,1961年11月,河北乐亭,全国人大代表,中共,河北,研究生,硕士,西北工业大学,飞机设计
张庆黎,男,汉族,1951年01月,山东东平,全国人大代表,中共,河北,中央党校研究生,,中央党校函授学院,政治学
张汝财,男,汉族,1952年12月,河北阜城,全国人大代表,中共,河北,高中,,,
张丽侠,女,回族,1968年09月,河北大厂,全国人大代表,中共,河北,大学本科,学士,河北医学院,临床
张建恒,男,汉族,1961年11月,河北安国,全国人大代表,中共,河北,大学本科,学士,大连工学院化工系,化工设备与机械
张淑芬,女,汉族,1963年08月,河北易县,全国人大代表,,河北,大专,,河北农业大学,经济管理
张富民,男,满族,1967年12月,河北滦平,全国人大代表,,河北,省委党校研究生,学士,河北省委党校在职研究生班,经济管理
张福利,男,汉族,1965年08月,河北滦县,全国人大代表,,河北,大学本科,硕士,长江商学院,高级管理人员工商管理
陈国鹰,男,汉族,1957年05月,湖南祁东,全国人大代表,中共,河北,研究生,博士,河北工学院,物理与器件专业
陈致慜,女,汉族,1951年01月,天津,全国人大代表,中共,河北,大专,,河北经济管理干部学院,经济管理
邵喜珍,女,汉族,1958年06月,河北栾城,全国人大代表,中共,河北,大学本科,学士,河北师范大学,生物
范现国,男,汉族,1960年9月,河北隆尧,全国人大代表,,河北,研究生,硕士,澳门科技大学,工商管理
尚金锁,男,汉族,1951年10月,河北柏乡,全国人大代表,中共,河北,大专,,河北广播电视大学,企业管理
明海,男,汉族,1968年2月,湖北潜江,全国人大代表,,河北,大学本科,,北京大学,哲学
金春梅,女,满族,1968年3月,河北青龙,全国人大代表,中共,河北,大专,,河北农业大学,农村经济管理
孟兰芝,女,汉族,1949年3月,河北唐山,全国人大代表,中共,河北,初中,,,
赵风楼,男,汉族,1958年4月,河北武安,全国人大代表,中共,河北,省委党校研究生,学士,河北省委党校,经济管理
赵玉江,男,汉族,1965年7月,河北迁安,全国人大代表,中共,河北,大专,,中央广播电视大学,企业管理
赵克志,男,汉族,1953年12月,山东莱西,全国人大代表,中共,河北,研究生,,中央党校,科学社会主义
赵治海,男,汉族,1958年6月,河北怀来,全国人大代表,中共,河北,大学本科,学士,河北农业大学,农学
赵勇,男,汉族,1963年1月,湖南益阳,全国人大代表,中共,河北,研究生,博士,中国人民大学工商管理学院,产业经济
赵曙光,男,满族,1955年5月,河北围场,全国人大代表,中共,河北,中央党校大学本科,博士,中央党校函授学院,经济管理
胡翎,女,汉族,1956年10月,辽宁大连,全国人大代表,中共,河北,研究生,,天津大学,工商管理
哈明江,男,回族,1954年2月,河北献县,全国人大代表,中共,河北,大专,,河北科技师范学院,法律
信春鹰,女,汉族,1956年10月,内蒙古通辽,全国人大常委会委员、全国人大法律委员会委员，全国人大常委会副秘书长、机关党组副书记,中共,河北,研究生,硕士,中国社会科学院,法学理论
侯华梅,女,汉族,1960年11月,河北邯郸,全国人大代表,九三学社,河北,省委党校研究生,,河北省委党校,经济管理
侯亮,男,汉族,1957年1月,河北康保,全国人大代表,中共,河北,省委党校研究生,硕士,河北师范大学,马克思主义理论与思想政治教育
姜德果,男,汉族,1957年1月,河北阜城,全国人大代表,中共,河北,研究生,硕士,新加坡南洋理工大学商学院,管理经济学
祝淑钗,女,汉族,1965年7月,河北安平,全国人大代表,民盟,河北,研究生,博士,中国协和医科大学,肿瘤放射治疗学
袁红梅,女,汉族,1966年12月,四川营山,全国人大代表,中共,河北,大专,,保定市中山业余文史学院,汉语言文学
聂瑞平,男,汉族,1959年11月,河北献县,全国人大代表,中共,河北,研究生,硕士,新加坡南洋理工大学商学院,管理经济学
贾春梅,女,汉族,1960年8月,河北武安,全国人大代表,中共,河北,大学本科,学士,河北大学,法学
贾晋中,男,汉族,1963年7月,河北井陉,全国人大代表,中共,河北,研究生,硕士,西南交通大学,交通运输管理
钱宗飞,男,汉族,1953年8月,河北阳原,全国人大代表,民革,河北,中专,,张北师范学校,美术
高宏志,男,汉族,1967年10月,河北正定,全国人大代表,中共,河北,研究生,硕士,河北师范大学,政治教育
高淑珍,女,汉族,1957年7月,河北滦南,全国人大代表,,河北,小学,,,
高瑞华,女,满族,1962年3月,河北滦县,全国人大代表,农工党,河北,省委党校研究生,,河北省委党校,经济管理
郭云鹏,男,汉族,1971年11月,河北张家口,全国人大代表,,河北,大专,,华北科技大学函授学院,机电一体化
郭建仁,男,汉族,1962年5月,河北宣化,全国人大代表,中共,河北,大学本科,,东北农业大学,农林经济管理
郭淑芹,女,汉族,1956年3月,河北蔚县,全国人大代表,中共,河北,大学普通班,,河北医科大学,临床
黄刚,男,汉族,1962年12月,湖南长沙,全国人大代表,中共,河北,研究生,博士,中国地质大学（北京）,资源产业经济
萧玉田,男,汉族,1945年4月,辽宁葫芦岛,全国人大代表,民进,河北,中专,,锦州师范学校,美术
曹宝华,男,汉族,1955年4月,河北冀州,全国人大代表,中共,河北,中央党校大学本科,,中央党校函授学院,经济管理
梁伟建,男,汉族,1965年8月,河北保定,全国人大代表,中共,河北,大专,,北京城建学院,
葛会波,男,汉族,1961年10月,辽宁本溪,全国人大代表,九三学社,河北,研究生,博士,沈阳农业大学,果树
韩文臣,男,汉族,1957年12月,河北唐山,全国人大代表,中共,河北,省委党校大学本科,,河北省委党校,经济管理
韩玉臣,男,汉族,1954年1月,吉林省吉林市,全国人大代表,中共,河北,研究生,硕士,厦门大学,工商管理
焦彦龙,男,汉族,1960年9月,河北平山,全国人大代表,中共,河北,研究生,硕士,新加坡南洋理工大学,管理经济学
温秀玲,女,汉族,1956年1月,河北沧县,全国人大代表,中共,河北,研究生,硕士,河北医科大学,临床医学
靳灵展,女,汉族,1965年3月,河北安平,全国人大代表,,河北,,,,
靳保芳,男,汉族,1952年9月,河北宁晋,全国人大代表,中共,河北,大专,,河北广播电视大学,行政管理
詹福瑞,男,满族,1953年11月,河北青龙,全国人大代表,中共,河北,研究生,博士,河北大学,古代文学
褚现英,男,汉族,1957年9月,河北元氏,全国人大代表,中共,河北,大学本科,学士,河北大学,无机物制备
